M 300, Stress Ration (R) = 0.20
Maximum Stress, MPa, Fatigue life (transverse direction), cycle

3984.7922082057357, 1784.1843971631206
8897.952045792637, 1718.22695035461
9410.89291419469, 1509.3617021276596
12928.908626029859, 1659.598108747045
12928.908626029859, 1586.3120567375886
11134.049403736297, 1513.0260047281324
21814.35585788543, 1311.4893617021276
28869.96434141516, 1520.354609929078
29414.389415834812, 1450.7328605200946
34156.12229277253, 1381.1111111111113
35456.48998106282, 1450.7328605200946
46924.49358090973, 1447.0685579196218
46924.49358090973, 1304.160756501182
52490.551515614454, 1249.1962174940898
53480.40976681516, 1161.2529550827423
56563.3987160822, 1238.2033096926714
58170.91329374358, 1373.7825059101654
58716.84035678735, 1447.0685579196218
59824.1129464896, 1102.6241134751772
64465.985891225246, 1366.4539007092199
65681.67492884633, 1241.867612293144
97236.5663754599, 1381.1111111111113
82187.78993349544, 1304.160756501182
126304.80663115227, 1139.2671394799054
229643.82223470515, 1304.160756501182
261727.82647836863, 1157.5886524822695
352912.745127513, 1161.2529550827423
425405.6419429464, 1245.5319148936169
629779.6757480934, 1238.2033096926714
1082636.7338740542, 1205.224586288416
2043359.7178569396, 1091.6312056737588
