X,Y,Radial Distance,Contact pressure (KPa)
-301.7067736,-0.588235294,301.7073471,0
-299.8752228,-34.11764706,301.8098128,0
-295.2094474,-65.88235294,302.4716553,0
-289.4251337,-92.94117647,303.9818585,0
-282.5044563,-120,306.9344683,0
-274.4540998,-145.2941176,310.5405505,0
-265.842246,-168.8235294,314.9182177,0
-253.2553476,-191.7647059,317.6664501,0
-238.9728164,-212.3529412,319.690129,0
-220.7174688,-231.7647059,320.0485587,0
-203.6185383,-245.8823529,319.24699,0
-183.1327986,-254.1176471,313.2305867,0
-164.3983957,-250,299.2103483,64.42069655
-153.057041,-244.1176471,288.1317119,42.26342381
-142.8498217,-238.8235294,278.2853747,172.5707494
-132.0632799,-236.4705882,270.8487567,337.6975133
-119.5565954,-238.2352941,266.5517489,262.8965021
-108.1617647,-246.4705882,269.1592804,124.3185607
-97.89215686,-257.6470588,275.6172732,17.23454643
-86.4728164,-272.3529412,285.7510674,37.50213488
-72.21033868,-287.6470588,296.5723579,59.14471577
-55.69741533,-297.0588235,302.2352506,70.47050122
-36.37254902,-298.8235294,301.0290087,68.05801731
-15.92245989,-297.6470588,298.072636,62.14527208
2.814171123,-294.1176471,294.13111,54.26222
18.1372549,-289.4117647,289.979533,45.95906602
36.29456328,-282.9411765,285.2595391,36.51907827
52.18360071,-277.6470588,282.5084379,91.0168757
68.06818182,-271.1764706,279.5889046,125.1778092
91.91399287,-266.4705882,281.8772011,90.75440213
118.043672,-264.7058824,289.8335948,45.66718953
140.7843137,-268.2352941,302.9362903,71.87258067
162.3752228,-268.2352941,313.5536413,93.10728267
185.6573084,-264.7058824,323.3231206,22.6462412
203.2241533,-252.3529412,324.009357,14.0187139
218.5093583,-237.6470588,322.8350418,11.6700836
229.7860963,-214.7058824,314.4841267,4.96825341
239.9242424,-191.1764706,306.7769304,0
250.6372549,-169.4117647,302.521701,0
264.1867201,-146.4705882,302.0732632,0
275.4590018,-122.3529412,301.4098603,0
283.342246,-103.5294118,301.6639976,0
290.0891266,-84.70588235,302.2032228,0
290.0891266,-84.70588235,302.2032228,0
295.67959,-60.58823529,301.8233825,0
299.0017825,-37.64705882,301.3625176,0
300.6305704,-17.64705882,301.1480675,0
301.1363636,-1.176470588,301.1386617,0
301.1363636,-1.176470588,301.1386617,0
